Area,Group.C,Group.D,Depth,Individual,Core_C,Rim_C,Individual,Core_O,Rim_O,lat,long,Wt(g),TL(mm),SL(mm)
Keys,B,NA,24.384,4,-7.045,-4.111,4,-0.547,-0.106,24.593219,-81.4914784,NA,252,NA
Keys,A,B,9.144,5,-4.746,-4.561,5,-0.553,0.062,24.797618,-81.084314,NA,212,NA
Keys,A,B,9.144,8,-4.248,-4.408,8,-0.507,-0.344,24.797618,-81.084314,NA,192,NA
Keys,A,B,9.144,10,-5.347,-4.3,10,-1.315,-0.963,24.797618,-81.084314,NA,205,NA
Keys,A,B,9.144,11,-4.387,-4.506,11,-0.262,-0.005,24.797618,-81.084314,NA,NA,NA
Keys,A,B,9.144,13,-6.131,-3.776,13,-0.936,-0.43,24.797618,-81.084314,NA,271,NA
Keys,A,B,9.144,17,-3.983,-4.284,17,-0.736,0.038,24.797618,-81.084314,NA,214,NA
Keys,C,D,30.48,18,-6.796,-4.08,18,-1.205,0.146,24.33357736,-81.48170532,NA,237,NA
Keys,C,D,30.48,19,-4.523,-4.028,19,-0.995,-0.112,24.33357736,-81.48170532,NA,300,NA
WFS,G,G,92.964,126,-7.681,-4.128,126,-0.167,0.767,25.59,-83.71,226,276,209
WFS,G,G,92.964,126,-7.307,NA,126,-0.131,NA,25.59,-83.71,226,276,209
WFS,G,G,92.964,129,-6.237,-4.819,129,-0.037,0.587,25.59,-83.71,214.3,260,193
WFS,G,G,92.964,130,-6.437,-4.155,130,0.227,0.475,25.59,-83.71,192.8,242,178
WFS,G,G,92.964,130,-6.93,-4.431,130,0.59,0.268,25.59,-83.71,192.8,242,178
WFS,G,G,92.964,133,-6.754,-4.735,133,0.458,0.539,25.59,-83.71,127.7,220,161
WFS,G,G,92.964,134,-6.257,-4.724,134,-0.056,0.811,25.59,-83.71,118.4,213,157
WFS,A,A,9.4488,135,NA,-3.722,135,NA,0.133,26,-81.9,600,335,261
WFS,A,A,9.4488,136,-5.869,-3.716,136,-0.132,-0.804,26,-81.9,495,306,230
WFS,A,A,9.4488,137,-6.684,-4.339,137,-0.832,0.18,26,-81.9,380,291,223
WFS,C,C,33.528,141,-4.858,-3.205,141,0.126,0.304,26,-82.7,800,371,286
WFS,C,C,33.528,144,-4.467,-3.184,144,-0.567,-0.669,26,-82.7,445,314,237
WFS,A,A,13.716,152,-6.041,-4.699,152,0.729,0.349,25.85,-81.98,435,301,231
WFS,D,E,48.1584,158,-6.625,-3.244,158,-0.711,0.3555,26.49,-83.2,418.5,300,220
WFS,D,E,48.1584,158,-6.196,-4.738,158,-0.387,0.382,26.49,-83.2,418.5,300,220
WFS,D,E,48.1584,158,-5.535,-4.193,158,-0.02,0.306,26.49,-83.2,418.5,300,220
WFS,B,NA,23.0124,159,-4.788,-3.299,159,-0.853,-0.565,25.68,-82.17,657.1,345,260
WFS,E,F,70.104,235,-6.832,-6.251,235,0.076,0.092,25.984,-83.608,103.5,207,155
WFS,E,F,70.104,238,NA,-5.639,238,NA,0.09,25.984,-83.608,112.38,219,163
WFS,D,E,45.72,249,-5.717,-5.105,249,0.299,-0.189,25.8343,-82.9433,464,321,245
WFS,D,E,45.72,250,-6.843,-5.227,250,-0.118,0.082,25.8343,-82.9433,468.2,315,245
WFS,D,E,45.72,251,-6.39,-3.882,251,0.228,0.378,25.8343,-82.9433,355,293,223
WFS,E,F,70.104,338,-6.918,-6.114,338,-0.296,0.41,25.858,-83.635,100.46,202,151
WFS,E,F,70.104,338?,NA,-5.728,338,NA,0.47,25.858,-83.635,100.46,202,151
WFS,E,F,69.7992,342,-6.282,NA,342,0.624,NA,25.858,-83.635,322.1,286,215
WFS,D,E,58.5216,026- Alex,-7.606,-7.008,026- Alex,-0.401,-0.15,25.5257,-83.1835,303.5,302,230
WFS,E,F,70.104,338-B,-7.09,NA,338-B,-0.213,NA,25.858,-83.635,100.46,202,151
WFS,A,A,12.6492,O14,-5.298,-3.765,O14,-0.082,0.126,25.854,-81.879,579.7,330,248
WFS,D,E,58.5216,OO6,-6.367,-5.263,OO6,-0.431,0.157,25.5257,-83.1835,95.6,205,150
